Country_City                                                                                          total_rental_sales
----------------------------------------------------------------------------------------------------- ---------------------------------------
Chad,NDjamna                                                                                          135.68
Chile,Antofagasta                                                                                     127.73
Chile,Coquimbo                                                                                        126.72
Chile,Rancagua                                                                                        73.84
China,Baicheng                                                                                        117.71
China,Baiyin                                                                                          120.74
China,Binzhou                                                                                         141.67
China,Changzhou                                                                                       154.60
China,Datong                                                                                          122.69
China,Daxian                                                                                          100.67
China,Dongying                                                                                        104.77
China,Emeishan                                                                                        124.74
China,Enshi                                                                                           59.86
China,Ezhou                                                                                           89.77
China,Fuyu                                                                                            151.66
China,Fuzhou                                                                                          50.86
China,Haining                                                                                         90.79
China,Hami                                                                                            86.79
China,Hohhot                                                                                          110.66
China,Huaian                                                                                          89.75
China,Jinchang                                                                                        135.66
China,Jining                                                                                          130.73
China,Jinzhou                                                                                         117.70
China,Junan                                                                                           91.75
China,Korla                                                                                           86.72
China,Laiwu                                                                                           92.73
China,Laohekou                                                                                        97.74
China,Lengshuijiang                                                                                   159.64
China,Leshan                                                                                          134.68
China,Liaocheng                                                                                       124.66
China,Meixian                                                                                         110.72
China,Nanyang                                                                                         95.77
China,Pingxiang                                                                                       95.78
China,Qinhuangdao                                                                                     140.68
China,Rizhao                                                                                          88.79
China,Sanya                                                                                           103.75
China,Shanwei                                                                                         110.70
China,Shaoguan                                                                                        115.71
China,Shenzhen                                                                                        71.81
China,Suihua                                                                                          99.76
China,Tianjin                                                                                         107.77
China,Tiefa                                                                                           127.71
China,Tieli                                                                                           83.81
China,Tongliao                                                                                        118.68
China,Weifang                                                                                         115.71
China,Xiangfan                                                                                        122.66
China,Xiangtan                                                                                        99.78
China,Xintai                                                                                          91.76
China,Xinxiang                                                                                        127.70
China,Yantai                                                                                          98.80
China,Yinchuan                                                                                        139.70
China,Yingkou                                                                                         80.77
China,Yuncheng                                                                                        130.70
China,Yuzhou                                                                                          103.75
China,Zalantun                                                                                        91.77
China,Zaoyang                                                                                         74.78
China,Zhoushan                                                                                        159.68
Colombia,Buenaventura                                                                                 93.75
Colombia,Dos Quebradas                                                                                143.68
Colombia,Florencia                                                                                    109.75
Colombia,Pereira                                                                                      98.77
Colombia,Sincelejo                                                                                    145.70
Colombia,Sogamoso                                                                                     117.76
Congo, The Democratic Republic of the,Lubumbashi                                                      101.74
Congo, The Democratic Republic of the,Mwene-Ditu                                                      110.76
Czech Republic,Olomouc                                                                                133.71
Dominican Republic,La Romana                                                                          99.77
Dominican Republic,San Felipe de Puerto Plata                                                         107.70
Dominican Republic,Santiago de los Caballeros                                                         110.76
Ecuador,Loja                                                                                          129.72
Ecuador,Portoviejo                                                                                    119.72
Ecuador,Robamba                                                                                       140.69
Egypt,Bilbays                                                                                         110.72
Egypt,Idfu                                                                                            89.77
Egypt,Mit Ghamr                                                                                       124.73
Egypt,Qalyub                                                                                          94.77
Egypt,Sawhaj                                                                                          120.74
Egypt,Shubra al-Khayma                                                                                153.66
Estonia,Tartu                                                                                         115.70
Ethiopia,Addis Abeba                                                                                  91.77
Faroe Islands,Trshavn                                                                                 114.72
Finland,Oulu                                                                                          101.74
France,Brest                                                                                          79.80
France,Le Mans                                                                                        71.80
France,Toulon                                                                                         92.76
France,Toulouse                                                                                       129.68
French Guiana,Cayenne                                                                                 103.78
French Polynesia,Faaa                                                                                 99.76
French Polynesia,Papeete                                                                              135.70
Gambia,Banjul                                                                                         129.70
Germany,Duisburg                                                                                      139.67
Germany,Erlangen                                                                                      135.71
Germany,Halle/Saale                                                                                   120.69
Germany,Mannheim                                                                                      151.65
Germany,Saarbrcken                                                                                    87.76
Germany,Siegen                                                                                        86.81
Germany,Witten                                                                                        108.75
Greece,Athenai                                                                                        135.74
Greece,Patras                                                                                         96.72
Greenland,Nuuk                                                                                        137.66
Holy See (Vatican City State),Citt del Vaticano                                                       152.66
Hong Kong,Kowloon and New Kowloon                                                                     142.70
Hungary,Szkesfehrvr                                                                                   111.71
India,Adoni                                                                                           101.78
India,Ahmadnagar                                                                                      128.67
India,Allappuzha (Alleppey)                                                                           98.76
India,Ambattur                                                                                        120.74
India,Amroha                                                                                          88.76
India,Balurghat                                                                                       91.74
India,Berhampore (Baharampur)                                                                         75.79
India,Bhavnagar                                                                                       106.77
India,Bhilwara                                                                                        161.68
India,Bhimavaram                                                                                      118.71
India,Bhopal                                                                                          134.68
India,Bhusawal                                                                                        103.74
India,Bijapur                                                                                         175.61
India,Chandrapur                                                                                      119.68
India,Chapra                                                                                          100.80
India,Dhule (Dhulia)                                                                                  88.78
India,Etawah                                                                                          109.74
India,Firozabad                                                                                       99.77
India,Gandhinagar                                                                                     71.81
India,Gulbarga                                                                                        70.81
India,Haldia                                                                                          114.69
India,Halisahar                                                                                       168.68
India,Hoshiarpur                                                                                      85.79
India,Hubli-Dharwad                                                                                   62.85
India,Jaipur                                                                                          98.75
India,Jhansi                                                                                          127.71
India,Jodhpur                                                                                         76.78
India,Kamarhati                                                                                       104.74
India,Kanchrapara                                                                                     65.84
India,Karnal                                                                                          152.65
India,Katihar                                                                                         89.75
India,Kumbakonam                                                                                      68.82
India,Miraj                                                                                           132.71
India,Munger (Monghyr)                                                                                111.68
India,Mysore                                                                                          133.73
India,Nagaon                                                                                          83.79
India,Palghat (Palakkad)                                                                              123.71
India,Parbhani                                                                                        137.69
India,Pathankot                                                                                       77.82
India,Patiala                                                                                         129.70
India,Pudukkottai                                                                                     119.73
India,Pune                                                                                            110.70
India,Purnea (Purnia)                                                                                 126.73
India,Rae Bareli                                                                                      141.69
India,Rajkot                                                                                          101.78
India,Rampur                                                                                          119.70
India,Ranchi                                                                                          80.79
India,Sambhal                                                                                         98.77
India,Satna                                                                                           121.70
India,Shimoga                                                                                         94.79
India,Shivapuri                                                                                       94.78
India,Siliguri (Shiliguri)                                                                            138.66
India,Tambaram                                                                                        115.71
India,Udaipur                                                                                         119.74
India,Uluberia                                                                                        116.69
India,Uttarpara-Kotrung                                                                               110.74
India,Valparai                                                                                        166.65
India,Varanasi (Benares)                                                                              100.76
India,Vijayawada                                                                                      127.75
India,Yamuna Nagar                                                                                    103.72
Indonesia,Cianjur                                                                                     80.74
Indonesia,Ciomas                                                                                      142.66
Indonesia,Ciparay                                                                                     90.77
Indonesia,Gorontalo                                                                                   88.80
Indonesia,Jakarta                                                                                     94.76
Indonesia,Lhokseumawe                                                                                 134.66
Indonesia,Madiun                                                                                      115.72
Indonesia,Pangkal Pinang                                                                              94.82
Indonesia,Pemalang                                                                                    111.73
Indonesia,Pontianak                                                                                   152.65
Indonesia,Probolinggo                                                                                 158.66
Indonesia,Purwakarta                                                                                  87.81
Indonesia,Surakarta                                                                                   89.74
Indonesia,Tegal                                                                                       66.81
Iran,Arak                                                                                             92.73
Iran,Esfahan                                                                                          99.75
Iran,Kermanshah                                                                                       93.74
Iran,Najafabad                                                                                        157.65
Iran,Qomsheh                                                                                          186.62
Iran,Shahr-e Kord                                                                                     84.77
Iran,Sirjan                                                                                           99.80
Iran,Tabriz                                                                                           135.69
Iraq,Mosul                                                                                            111.73
Israel,Ashdod                                                                                         137.67
Israel,Ashqelon                                                                                       86.81
Israel,Bat Yam                                                                                        84.83
Israel,Tel Aviv-Jaffa                                                                                 112.70
Italy,Alessandria                                                                                     91.79
Italy,Bergamo                                                                                         151.64
Italy,Brescia                                                                                         147.69
Italy,Brindisi                                                                                        123.70
Italy,Livorno                                                                                         108.76
Italy,Syrakusa                                                                                        132.72
Italy,Udine                                                                                           74.81
Japan,Akishima                                                                                        109.72
Japan,Fukuyama                                                                                        130.68
Japan,Higashiosaka                                                                                    98.75
Japan,Hino                                                                                            87.82
Japan,Hiroshima                                                                                       131.70
Japan,Isesaki                                                                                         103.77
Japan,Iwaki                                                                                           117.74
Japan,Iwakuni                                                                                         128.71
Japan,Iwatsuki                                                                                        111.73
Japan,Izumisano                                                                                       104.70
Japan,Kakamigahara                                                                                    122.71
Japan,Kamakura                                                                                        84.78
Japan,Kanazawa                                                                                        99.77
Japan,Koriyama                                                                                        73.79
Japan,Kurashiki                                                                                       89.76
Japan,Kuwana                                                                                          118.75
Japan,Matsue                                                                                          72.80
Japan,Miyakonojo                                                                                      127.71
Japan,Nagareyama                                                                                      115.70
Japan,Okayama                                                                                         99.79
Japan,Okinawa                                                                                         103.77
Japan,Omiya                                                                                           139.70
Japan,Onomichi                                                                                        143.71
Japan,Otsu                                                                                            135.74
Japan,Sagamihara                                                                                      106.76
Japan,Sasebo                                                                                          118.68
Japan,Shimonoseki                                                                                     140.64
Japan,Tama                                                                                            101.74
Japan,Tsuyama                                                                                         105.79
Japan,Ueda                                                                                            115.68
Japan,Urawa                                                                                           127.66
Kazakstan,Pavlodar                                                                                    77.77
Kazakstan,Zhezqazghan                                                                                 120.71
Kenya,Kisumu                                                                                          109.75
Kenya,Nyeri                                                                                           143.71
Kuwait,Jalib al-Shuyukh                                                                               111.74
Latvia,Daugavpils                                                                                     142.70
Latvia,Liepaja                                                                                        119.70
Liechtenstein,Vaduz                                                                                   114.72
Lithuania,Vilnius                                                                                     73.76
Madagascar,Mahajanga                                                                                  93.78
Malawi,Lilongwe                                                                                       123.72
Malaysia,Ipoh                                                                                         114.74
Malaysia,Kuching                                                                                      115.73
Malaysia,Sungai Petani                                                                                138.68
Mexico,Acua                                                                                           113.74
Mexico,Allende                                                                                        105.75
Mexico,Atlixco                                                                                        141.67
Mexico,Carmen                                                                                         96.78
Mexico,Celaya                                                                                         108.74
Mexico,Coacalco de Berriozbal                                                                         104.78
Mexico,Coatzacoalcos                                                                                  138.71
Mexico,Cuauhtmoc                                                                                      139.71
Mexico,Cuautla                                                                                        114.69
Mexico,Cuernavaca                                                                                     126.71
Mexico,El Fuerte                                                                                      128.67
Mexico,Guadalajara                                                                                    95.77
Mexico,Hidalgo                                                                                        105.75
Mexico,Huejutla de Reyes                                                                              113.75
Mexico,Huixquilucan                                                                                   132.70
Mexico,Jos Azueta                                                                                     107.73
Mexico,Jurez                                                                                          88.75
Mexico,La Paz                                                                                         95.78
Mexico,Matamoros                                                                                      71.77
Mexico,Mexicali                                                                                       114.75
Mexico,Monclova                                                                                       99.74
Mexico,Nezahualcyotl                                                                                  91.70
Mexico,Pachuca de Soto                                                                                72.82
Mexico,Salamanca                                                                                      157.65
Mexico,San Felipe del Progreso                                                                        132.70
Mexico,San Juan Bautista Tuxtepec                                                                     104.74
Mexico,Torren                                                                                         98.73
Mexico,Uruapan                                                                                        151.67
Mexico,Valle de Santiago                                                                              80.76
Mexico,Zapopan                                                                                        69.83
Moldova,Chisinau                                                                                      127.66
Morocco,Beni-Mellal                                                                                   82.78
Morocco,Nador                                                                                         110.73
Morocco,Sal                                                                                           113.78
Mozambique,Beira                                                                                      151.63
Mozambique,Naala-Porto                                                                                133.75
Mozambique,Tete                                                                                       58.82
Myanmar,Monywa                                                                                        112.70
Myanmar,Myingyan                                                                                      81.78
Nauru,Yangor                                                                                          148.69
Nepal,Birgunj                                                                                         116.78
Netherlands,Amersfoort                                                                                93.77
Netherlands,Apeldoorn                                                                                 194.61
Netherlands,Ede                                                                                       106.77
Netherlands,Emmen                                                                                     100.74
Netherlands,s-Hertogenbosch                                                                           90.77
New Zealand,Hamilton                                                                                  92.76
Nigeria,Benin City                                                                                    126.72
Nigeria,Deba Habe                                                                                     104.77
Nigeria,Effon-Alaiye                                                                                  117.73
Nigeria,Ife                                                                                           137.70
Nigeria,Ikerre                                                                                        141.63
Nigeria,Ilorin                                                                                        146.69
Nigeria,Kaduna                                                                                        91.78
Nigeria,Ogbomosho                                                                                     144.68
Nigeria,Ondo                                                                                          101.75
Nigeria,Owo                                                                                           118.73
Nigeria,Oyo                                                                                           73.80
Nigeria,Sokoto                                                                                        109.75
Nigeria,Zaria                                                                                         95.75
North Korea,Pyongyang                                                                                 113.69
Oman,Masqat                                                                                           89.77
Oman,Salala                                                                                           97.73
Pakistan,Dadu                                                                                         121.69
Pakistan,Mandi Bahauddin                                                                              80.83
Pakistan,Mardan                                                                                       115.70
Pakistan,Okara                                                                                        91.79
Pakistan,Shikarpur                                                                                    115.71
Paraguay,Asuncin                                                                                      87.79
Paraguay,Ciudad del Este                                                                              80.82
Paraguay,San Lorenzo                                                                                  106.77
Peru,Callao                                                                                           115.74
Peru,Hunuco                                                                                           126.71
Peru,Lima                                                                                             126.68
Peru,Sullana                                                                                          99.75
Philippines,Baybay                                                                                    129.70
Philippines,Bayugan                                                                                   92.75
Philippines,Bislig                                                                                    79.79
Philippines,Cabuyao                                                                                   149.65
Philippines,Cavite                                                                                    124.70
Philippines,Davao                                                                                     126.69
Philippines,Gingoog                                                                                   97.72
Philippines,Hagonoy                                                                                   70.82
Philippines,Iligan                                                                                    99.73
Philippines,Imus                                                                                      138.71
Philippines,Lapu-Lapu                                                                                 129.68
Philippines,Mandaluyong                                                                               122.71
Philippines,Ozamis                                                                                    128.73
Philippines,Santa Rosa                                                                                167.67
Philippines,Taguig                                                                                    99.70
Philippines,Talavera                                                                                  97.79
Philippines,Tanauan                                                                                   161.65
Philippines,Tanza                                                                                     175.58
Philippines,Tarlac                                                                                    79.81
Philippines,Tuguegarao                                                                                107.74
Poland,Bydgoszcz                                                                                      52.88
Poland,Czestochowa                                                                                    108.75
Poland,Jastrzebie-Zdrj                                                                                127.68
